24
0.3	0	0
0.295351	-0.0791392	0
0.264715	-0.152833	0
0.202842	-0.202842	0
0.140034	-0.242545	0
0.0801469	-0.299112	0
0	-0.335593	0
-0.0794208	-0.296402	0
-0.128195	-0.222041	0
-0.188865	-0.188865	0
-0.29147	-0.16828	0
-0.347697	-0.0931651	0
-0.3	0	0
-0.289778	0.0776457	0
-0.259808	0.15	0
-0.212132	0.212132	0
-0.15	0.259808	0
-0.0776457	0.289778	0
0	0.3	0
0.0776457	0.289778	0
0.15	0.259808	0
0.212132	0.212132	0
0.259808	0.15	0
0.289778	0.0776457	0
252
#a b m n r
  1   2   3   4  -79.92
  3   4  13  14  -0.87
  3   4  14  15  -0.76
  3   4  15  16  -0.74
  3   4  16  17  -0.76
  3   4  17  18  -0.81
  3   4  18  19  -0.89
  3   4  19  20  -1.16
  3   4  20  21  -1.62
  3   4  21  22  -2.40
  3   4  22  23  -3.97
  3   4  23  24  -7.72
  3   4  24   1  -19.42
  4   5   6   7  -55.55
  4   5   7   8  -16.13
  4   5   8   9  -15.51
  4   5   9  10  -12.51
  4   5  10  11  -4.78
  4   5  11  12  -1.07
  4   5  12  13  -1.59
  4   5  13  14  -1.47
  4   5  14  15  -1.16
  4   5  15  16  -1.05
  4   5  16  17  -1.02
  4   5  17  18  -1.03
  4   5  18  19  -1.06
  4   5  19  20  -1.27
  4   5  20  21  -1.64
  4   5  21  22  -2.20
  4   5  22  23  -3.20
  4   5  23  24  -5.25
  4   5  24   1  -10.13
  5   6   7   8  -75.73
  5   6   8   9  -40.32
  5   6   9  10  -24.05
  5   6  10  11  -8.17
  5   6  11  12  -1.72
  5   6  12  13  -2.45
  5   6  13  14  -2.00
  5   6  14  15  -1.41
  5   6  15  16  -1.18
  5   6  16  17  -1.07
  5   6  17  18  -1.02
  5   6  18  19  -0.99
  5   6  19  20  -1.11
  5   6  20  21  -1.34
  5   6  21  22  -1.66
  5   6  22  23  -2.17
  5   6  23  24  -3.08
  5   6  24   1  -4.90
  6   7   8   9  -85.94
  6   7   9  10  -24.16
  6   7  10  11  -7.21
  6   7  11  12  -1.42
  6   7  12  13  -1.85
  6   7  13  14  -1.45
  6   7  14  15  -0.97
  6   7  15  16  -0.76
  6   7  16  17  -0.66
  6   7  17  18  -0.59
  6   7  18  19  -0.55
  6   7  19  20  -0.58
  6   7  20  21  -0.67
  6   7  21  22  -0.78
  6   7  22  23  -0.96
  6   7  23  24  -1.27
  6   7  24   1  -1.83
  7   8   9  10  -56.63
  7   8  10  11  -12.35
  7   8  11  12  -2.13
  7   8  12  13  -2.34
  7   8  13  14  -1.80
  7   8  14  15  -1.14
  7   8  15  16  -0.85
  7   8  16  17  -0.68
  7   8  17  18  -0.58
  7   8  18  19  -0.50
  7   8  19  20  -0.49
  7   8  20  21  -0.52
  7   8  21  22  -0.57
  7   8  22  23  -0.65
  7   8  23  24  -0.80
  7   8  24   1  -1.06
  8   9  10  11  -66.99
  8   9  11  12  -8.77
  8   9  12  13  -8.23
  8   9  13  14  -5.94
  8   9  14  15  -3.49
  8   9  15  16  -2.41
  8   9  16  17  -1.83
  8   9  17  18  -1.46
  8   9  18  19  -1.19
  8   9  19  20  -1.10
  8   9  20  21  -1.12
  8   9  21  22  -1.15
  8   9  22  23  -1.23
  8   9  23  24  -1.41
  8   9  24   1  -1.74
  9  10  11  12  -40.10
  9  10  12  13  -27.63
  9  10  13  14  -15.79
  9  10  14  15  -7.88
  9  10  15  16  -4.86
  9  10  16  17  -3.38
  9  10  17  18  -2.54
  9  10  18  19  -1.96
  9  10  19  20  -1.73
  9  10  20  21  -1.69
  9  10  21  22  -1.67
  9  10  22  23  -1.73
  9  10  23  24  -1.88
  9  10  24   1  -2.20
 10  11  12  13  -117.66
 10  11  13  14  -25.06
 10  11  14  15  -8.51
 10  11  15  16  -4.27
 10  11  16  17  -2.59
 10  11  17  18  -1.76
 10  11  18  19  -1.27
 10  11  19  20  -1.04
 10  11  20  21  -0.98
 10  11  21  22  -0.94
 10  11  22  23  -0.94
 10  11  23  24  -0.99
 10  11  24   1  -1.11
 11  12  13  14  -32.10
 11  12  14  15  -7.11
 11  12  15  16  -2.87
 11  12  16  17  -1.49
 11  12  17  18  -0.90
 11  12  18  19  -0.58
 11  12  19  20  -0.43
 11  12  20  21  -0.37
 11  12  21  22  -0.33
 11  12  22  23  -0.31
 11  12  23  24  -0.30
 11  12  24   1  -0.32
 12  13  14  15  -69.80
 12  13  15  16  -18.54
 12  13  16  17  -7.86
 12  13  17  18  -4.15
 12  13  18  19  -2.41
 12  13  19  20  -1.61
 12  13  20  21  -1.25
 12  13  21  22  -1.01
 12  13  22  23  -0.85
 12  13  23  24  -0.76
 12  13  24   1  -0.72
 13  14  15  16  -73.49
 13  14  16  17  -19.51
 13  14  17  18  -8.25
 13  14  18  19  -4.18
 13  14  19  20  -2.48
 13  14  20  21  -1.78
 13  14  21  22  -1.35
 13  14  22  23  -1.09
 13  14  23  24  -0.94
 13  14  24   1  -0.86
 14  15  16  17  -71.72
 14  15  17  18  -18.76
 14  15  18  19  -7.58
 14  15  19  20  -3.81
 14  15  20  21  -2.41
 14  15  21  22  -1.69
 14  15  22  23  -1.27
 14  15  23  24  -1.03
 14  15  24   1  -0.89
 15  16  17  18  -71.74
 15  16  18  19  -18.29
 15  16  19  20  -7.21
 15  16  20  21  -3.87
 15  16  21  22  -2.43
 15  16  22  23  -1.68
 15  16  23  24  -1.26
 15  16  24   1  -1.03
 16  17  18  19  -71.19
 16  17  19  20  -17.46
 16  17  20  21  -7.24
 16  17  21  22  -3.90
 16  17  22  23  -2.42
 16  17  23  24  -1.67
 16  17  24   1  -1.26
 17  18  19  20  -69.41
 17  18  20  21  -17.30
 17  18  21  22  -7.22
 17  18  22  23  -3.83
 17  18  23  24  -2.36
 17  18  24   1  -1.64
 18  19  20  21  -70.03
 18  19  21  22  -17.71
 18  19  22  23  -7.27
 18  19  23  24  -3.79
 18  19  24   1  -2.32
 19  20  21  22  -71.60
 19  20  22  23  -18.53
 19  20  23  24  -7.68
 19  20  24   1  -4.03
 20  21  22  23  -71.64
 20  21  23  24  -18.67
 20  21  24   1  -7.84
 21  22  23  24  -71.51
 21  22  24   1  -18.70
 22  23  24   1  -71.69
