 10.00 1.00 6  227.38   -5.29
 11.00 1.00 6  244.11    1.76
 12.00 1.00 6  290.24    5.89
 13.00 1.00 6  201.13    9.26
 14.00 1.00 6  219.25   -4.13
 15.00 1.00 6  287.60    6.89
 16.00 1.00 6  357.45    0.00
 17.00 1.00 6  356.59    7.66
 18.00 1.00 6  403.97    6.21
 19.00 1.00 6  474.14    4.29
 20.00 1.00 6  368.33    3.68
 21.00 1.00 6  241.95    7.82
 22.00 1.00 6  372.70    7.21
 23.00 1.00 6  397.76    8.97
 24.00 1.00 6  417.28    6.05
 25.00 1.00 6  478.28   -5.45
 26.00 1.00 6  516.17    6.66
 27.00 1.00 6  383.31    6.82
 28.00 1.00 6  209.35    5.05
 29.00 1.00 6  277.12    6.97
 30.00 1.00 6  368.77    7.82
 31.00 1.00 6  394.38    7.50
 32.00 1.00 6  345.74   -2.84
 33.00 1.00 6  332.74    6.66
 34.00 1.00 6  309.39    1.53
  0.00 1.00 7  108.24    6.66
  1.00 1.00 7  122.11  -32.26
  2.00 1.00 7  121.01  -44.61
  3.00 1.00 7  100.14   -3.08
  4.00 1.00 7  119.85   -8.26
  5.00 1.00 7   99.15   11.11
  6.00 1.00 7  156.32    2.53
  7.00 1.00 7  196.21   -2.37
  8.00 1.00 7  214.18   -6.29
  9.00 1.00 7  214.74   -7.05
 10.00 1.00 7  231.86    0.00
 11.00 1.00 7  276.60   -0.16
 12.00 1.00 7  206.93    8.11
 13.00 1.00 7  203.96   -0.45
 14.00 1.00 7  261.89    5.58
 15.00 1.00 7  329.42   -7.82
 16.00 1.00 7  338.97    6.89
 17.00 1.00 7  379.13    5.89
 18.00 1.00 7  437.03    1.76
 19.00 1.00 7  380.91    3.68
 20.00 1.00 7  239.10    7.82
 21.00 1.00 7  348.63    7.50
 22.00 1.00 7  359.19    9.11
 23.00 1.00 7  383.59    5.89
 24.00 1.00 7  431.83   -5.61
 25.00 1.00 7  472.74    4.89
 26.00 1.00 7  384.76    1.53
 27.00 1.00 7  227.61    6.21
 28.00 1.00 7  272.47    6.82
 29.00 1.00 7  364.51    7.82
 30.00 1.00 7  391.76    5.89
 31.00 1.00 7  355.07   -9.13
 32.00 1.00 7  336.05    6.21
 33.00 1.00 7  346.48   -6.97
  0.00 1.00 8  125.45    3.45
  1.00 1.00 8  140.11  -68.29
  2.00 1.00 8  124.73  -33.76
  3.00 1.00 8  120.38  -49.11
  4.00 1.00 8   85.81   10.03
  5.00 1.00 8  136.35    9.97
  6.00 1.00 8  188.07  -16.32
  7.00 1.00 8  200.74  -10.74
  8.00 1.00 8  199.84  -11.63
  9.00 1.00 8  219.99   -0.61
 10.00 1.00 8  264.33   -2.08
 11.00 1.00 8  193.46    6.58
 12.00 1.00 8  211.13   -3.37
 13.00 1.00 8  247.18    6.89
 14.00 1.00 8  304.39  -13.26
 15.00 1.00 8  312.24    3.21
 16.00 1.00 8  361.32    4.29
 17.00 1.00 8  413.87   -1.61
 18.00 1.00 8  352.08    0.16
 19.00 1.00 8  245.73    7.82
 20.00 1.00 8  348.98    7.05
 21.00 1.00 8  335.59    9.26
 22.00 1.00 8  346.74    5.21
 23.00 1.00 8  404.74  -10.42
 24.00 1.00 8  426.64    5.45
 25.00 1.00 8  353.16   -2.76
 26.00 1.00 8  226.80    0.92
 27.00 1.00 8  293.17    7.82
 28.00 1.00 8  361.03    7.66
 29.00 1.00 8  395.13    5.89
 30.00 1.00 8  366.57  -12.95
 31.00 1.00 8  339.22    4.74
 32.00 1.00 8  358.21   -9.18
  0.00 1.00 9  136.40   -6.82
  1.00 1.00 9  141.14  -51.03
  2.00 1.00 9  170.49 -135.45
  3.00 1.00 9   82.78   -2.24
  4.00 1.00 9  117.78    7.45
  5.00 1.00 9  162.08   -0.61
  6.00 1.00 9  189.03  -11.34
  7.00 1.00 9  189.10  -17.95
  8.00 1.00 9  205.40   -3.08
  9.00 1.00 9  252.29   -2.53
 10.00 1.00 9  183.85    6.29
 11.00 1.00 9  206.39  -22.53
 12.00 1.00 9  253.76    5.74
 13.00 1.00 9  284.94   -5.89
 14.00 1.00 9  291.13    0.84
 15.00 1.00 9  336.01    2.37
 16.00 1.00 9  400.60   -7.66
 17.00 1.00 9  334.88   -2.76
 18.00 1.00 9  227.99    7.21
 19.00 1.00 9  358.38    7.05
 20.00 1.00 9  332.89    8.66
 21.00 1.00 9  327.37    4.66
 22.00 1.00 9  392.07  -30.87
 23.00 1.00 9  396.59    5.29
 24.00 1.00 9  322.84   -3.21
 25.00 1.00 9  210.72   -5.37
 26.00 1.00 9  285.77    5.89
 27.00 1.00 9  387.21    8.26
 28.00 1.00 9  395.92    5.89
 29.00 1.00 9  372.27  -11.34
 30.00 1.00 9  345.62    3.74
 31.00 1.00 9  374.78  -16.24
  0.00 1.00 10  143.43   -1.55
  1.00 1.00 10  207.92 -174.68
  2.00 1.00 10  103.78  -32.42
  3.00 1.00 10  113.68    0.39
  4.00 1.00 10  142.59   -8.42
  5.00 1.00 10  165.07   -2.21
  6.00 1.00 10  178.35  -18.39
  7.00 1.00 10  194.86   -5.45
  8.00 1.00 10  238.16   -4.74
  9.00 1.00 10  176.10    6.45
 10.00 1.00 10  199.54  -27.34
 11.00 1.00 10  241.47    1.32
 12.00 1.00 10  292.77   -8.82
 13.00 1.00 10  278.59    3.53
 14.00 1.00 10  315.20    3.68
 15.00 1.00 10  382.23  -18.08
 16.00 1.00 10  326.38   -9.26
 17.00 1.00 10  217.58    7.21
 18.00 1.00 10  335.98    5.74
 19.00 1.00 10  340.67    8.97
 20.00 1.00 10  325.12    3.61
 21.00 1.00 10  364.74  -24.13
 22.00 1.00 10  372.95   -1.45
 23.00 1.00 10  305.04   -7.89
 24.00 1.00 10  194.34   -4.21
 25.00 1.00 10  264.72    4.58
 26.00 1.00 10  386.57    3.45
 27.00 1.00 10  427.67    7.66
 28.00 1.00 10  374.73  -11.34
 29.00 1.00 10  352.49    5.05
 30.00 1.00 10  388.25  -20.76
  0.00 1.00 11  165.63  -40.13
  1.00 1.00 11  114.95  -54.63
  2.00 1.00 11  133.19  -12.47
  3.00 1.00 11  144.74  -37.84
  4.00 1.00 11  146.93   -9.74
  5.00 1.00 11  157.48   -5.45
  6.00 1.00 11  186.03   -4.89
  7.00 1.00 11  228.31   -7.82
  8.00 1.00 11  165.56    6.29
  9.00 1.00 11  190.93  -27.50
 10.00 1.00 11  233.08   -0.16
 11.00 1.00 11  295.04  -33.55
 12.00 1.00 11  286.46    1.76
 13.00 1.00 11  306.66    6.05
 14.00 1.00 11  364.50  -21.76
 15.00 1.00 11  315.12  -19.39
 16.00 1.00 11  210.60    6.05
 17.00 1.00 11  324.28    4.29
 18.00 1.00 11  321.37    7.66
 19.00 1.00 11  325.64   10.74
 20.00 1.00 11  385.97  -42.61
 21.00 1.00 11  359.35   -1.00
 22.00 1.00 11  297.28  -25.21
 23.00 1.00 11  186.43   -8.13
 24.00 1.00 11  248.81    5.29
 25.00 1.00 11  368.82   -0.92
 26.00 1.00 11  422.47   -0.55
 27.00 1.00 11  390.61   -4.61
 28.00 1.00 11  357.82    5.05
 29.00 1.00 11  396.31  -17.68
0
0
0
0

