GrÅnhain 020524 PD Profil 4
 21.00 1.00 4  381.95    1.45
 22.00 1.00 4  456.49    2.61
 23.00 1.00 4  468.62    2.61
 24.00 1.00 4  438.40    2.76
 25.00 1.00 4  410.90    1.61
 26.00 1.00 4  422.28    2.61
 27.00 1.00 4  447.32    2.61
 28.00 1.00 4  418.92    2.61
 29.00 1.00 4  470.33    2.61
 30.00 1.00 4  434.22    2.76
 31.00 1.00 4  427.79    1.61
 32.00 1.00 4  465.35    2.61
 33.00 1.00 4  444.17    2.61
 34.00 1.00 4  491.44    1.45
 35.00 1.00 4  406.50    2.76
 36.00 1.00 4  473.15    1.16
  0.00 1.00 5 1003.12    5.37
  1.00 1.00 5  936.43    5.21
  2.00 1.00 5  865.79    5.21
  3.00 1.00 5  927.57    4.92
  4.00 1.00 5  921.08    5.21
  5.00 1.00 5  850.83    5.37
  6.00 1.00 5 1090.19    3.61
  7.00 1.00 5  574.79    3.76
  8.00 1.00 5  650.27    4.21
  9.00 1.00 5 1101.97    4.37
 10.00 1.00 5 1496.72    5.37
 11.00 1.00 5  982.77    2.16
 12.00 1.00 5  760.57    2.61
 13.00 1.00 5  644.80    3.61
 14.00 1.00 5  563.57    3.76
 15.00 1.00 5  492.13    2.45
 16.00 1.00 5  800.68    2.76
 17.00 1.00 5  644.89    2.45
 18.00 1.00 5  511.42    3.05
 19.00 1.00 5  458.62    2.45
 20.00 1.00 5  447.15    1.45
 21.00 1.00 5  467.97    2.61
 22.00 1.00 5  525.16    2.61
 23.00 1.00 5  506.79    2.76
 24.00 1.00 5  472.78    1.76
 25.00 1.00 5  470.93    2.61
 26.00 1.00 5  484.40    2.61
 27.00 1.00 5  461.19    2.76
 28.00 1.00 5  504.59    2.76
 29.00 1.00 5  467.94    2.76
 30.00 1.00 5  432.93    1.61
 31.00 1.00 5  453.70    2.16
 32.00 1.00 5  486.32    2.61
 33.00 1.00 5  514.15    1.45
 34.00 1.00 5  433.58    2.76
 35.00 1.00 5  504.92    1.00
  0.00 1.00 6 1017.36    6.37
  1.00 1.00 6  955.07    4.61
  2.00 1.00 6 1024.94    5.21
  3.00 1.00 6 1021.96    5.37
  4.00 1.00 6  964.98    5.82
  5.00 1.00 6 1215.48    3.61
  6.00 1.00 6  646.81    4.21
  7.00 1.00 6  741.21    4.92
  8.00 1.00 6 1182.70    5.37
  9.00 1.00 6 1524.54    5.82
 10.00 1.00 6  996.42    2.61
 11.00 1.00 6  787.00    1.84
 12.00 1.00 6  780.61    3.76
 13.00 1.00 6  658.40    4.21
 14.00 1.00 6  521.61    3.61
 15.00 1.00 6  823.86    2.61
 16.00 1.00 6  717.63    2.45
 17.00 1.00 6  570.85    3.05
 18.00 1.00 6  506.40    2.45
 19.00 1.00 6  490.82    2.45
 20.00 1.00 6  543.64    2.76
 21.00 1.00 6  533.08    2.45
 22.00 1.00 6  559.23    3.05
 23.00 1.00 6  541.14    2.61
 24.00 1.00 6  539.99    2.61
 25.00 1.00 6  549.08    2.00
 26.00 1.00 6  490.81    2.76
 27.00 1.00 6  548.38    2.76
 28.00 1.00 6  498.60    2.76
 29.00 1.00 6  459.55    1.61
 30.00 1.00 6  459.68    2.16
 31.00 1.00 6  488.70    2.61
 32.00 1.00 6  556.18    1.45
 33.00 1.00 6  452.72    2.76
 34.00 1.00 6  533.71    0.00
  0.00 1.00 7 1024.34    6.21
  1.00 1.00 7 1113.45    5.05
  2.00 1.00 7 1120.94    6.37
  3.00 1.00 7 1072.21    6.82
  4.00 1.00 7 1362.89    4.61
  5.00 1.00 7  710.95    4.76
  6.00 1.00 7  828.06    5.37
  7.00 1.00 7 1324.53    5.82
  8.00 1.00 7 1621.91    6.37
  9.00 1.00 7 1040.52    3.61
 10.00 1.00 7  835.47    3.45
 11.00 1.00 7  812.84    3.16
 12.00 1.00 7  773.99    4.37
 13.00 1.00 7  593.59    4.21
 14.00 1.00 7  866.47    3.76
 15.00 1.00 7  731.20    2.00
 16.00 1.00 7  624.58    3.61
 17.00 1.00 7  555.95    1.84
 18.00 1.00 7  538.75    2.16
 19.00 1.00 7  599.04    3.05
 20.00 1.00 7  604.09    2.45
 21.00 1.00 7  570.45    3.61
 22.00 1.00 7  596.28    2.61
 23.00 1.00 7  612.97    2.61
 24.00 1.00 7  628.00    2.00
 25.00 1.00 7  547.50    2.76
 26.00 1.00 7  582.31    2.76
 27.00 1.00 7  538.01    2.76
 28.00 1.00 7  486.51    2.61
 29.00 1.00 7  484.63    2.00
 30.00 1.00 7  506.13    2.76
 31.00 1.00 7  562.67    0.84
 32.00 1.00 7  486.48    3.05
 33.00 1.00 7  554.09    0.45
0
0
0
0
